variant,condition,rung,probe_type,n,tp,fp,fn,tn,abstain,parse_fail
BcesvRecon[no_template],Qwen    s42 N/P,isolated,cross_boundary,100,0,17,0,83,0,0
BcesvRecon[no_template],Qwen    s42 N/P,boundary_preserving_topk,supported,100,0,0,0,100,0,0
BcesvRecon[no_template],Qwen    s42 N/P,boundary_preserving_topk,cross_boundary,100,0,17,0,83,0,0
BcesvRecon[no_template],Qwen    s42 N/P,shared_vector_index,supported,100,0,0,0,100,0,0
BcesvRecon[no_template],Qwen    s42 N/P,shared_vector_index,cross_boundary,100,100,0,0,0,0,0
BcesvRecon[no_template],Qwen    s42 N/P,summary_merge,supported,100,0,0,0,100,0,0
BcesvRecon[no_template],Qwen    s42 N/P,summary_merge,cross_boundary,100,99,0,0,1,0,0
FragmentOnly,Qwen    s42 C/P,isolated,supported,100,0,100,0,0,0,0
FragmentOnly,Qwen    s42 C/P,isolated,cross_boundary,100,0,17,0,83,0,0
FragmentOnly,Qwen    s42 C/P,boundary_preserving_topk,supported,100,0,100,0,0,0,0
FragmentOnly,Qwen    s42 C/P,boundary_preserving_topk,cross_boundary,100,0,17,0,83,0,0
FragmentOnly,Qwen    s42 C/P,shared_vector_index,supported,100,0,100,0,0,0,0
FragmentOnly,Qwen    s42 C/P,shared_vector_index,cross_boundary,100,98,0,0,2,2,0
FragmentOnly,Qwen    s42 C/P,summary_merge,supported,100,0,100,0,0,0,0
FragmentOnly,Qwen    s42 C/P,summary_merge,cross_boundary,100,97,0,0,3,2,0
BcesvExact,Qwen    s42 C/P,isolated,supported,100,0,0,0,100,0,0
BcesvExact,Qwen    s42 C/P,isolated,cross_boundary,100,0,0,0,100,0,0
BcesvExact,Qwen    s42 C/P,boundary_preserving_topk,supported,100,0,0,0,100,0,0
BcesvExact,Qwen    s42 C/P,boundary_preserving_topk,cross_boundary,100,0,0,0,100,0,0
BcesvExact,Qwen    s42 C/P,shared_vector_index,supported,100,0,0,0,100,0,0
BcesvExact,Qwen    s42 C/P,shared_vector_index,cross_boundary,100,98,0,0,2,2,0
